Complexity,Loss,Equation
1,2.92418469695512,"0.24725712233634323"
2,2.4288767380525456,"cos(x4)"
4,2.1149283776280785,"cos(x4 * -1.5709715568317442)"
5,1.9902419495757078,"cos(exp(x1) / 0.4325805716017223)"
7,1.9224846069008708,"(cos(-1.33214296031649 - cos(x1)) - -0.5730253990951223)"
9,1.0022263921870445,"((cos(-1.437102996391061 - cos(x1)) - -0.5730253991802127) / 0.37263056185665444)"
11,0.9789351134497688,"(((cos(-1.437102996391061 - cos(x1)) - -0.5730253991802127) / 0.37263056185665444) - 0.28323531715330375)"
